 ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO,AUDIENCIA
12754074,Visita Comentada al Museo Centro de Arte Reina Sofía,1,0,0,,,2025-05-07 00:00:00.0,2025-05-07 23:59:00.0,17:30:00,"El Museo Reina Sofía se reconoce como un espacio dinamizador y abierto a la ciudadanía en toda su diversidad. Centra su atención en valorar la riqueza de las diferencias y de las diversas culturas, abordando de manera transversal los factores de exclusión social como parte de una conversación colectiva amplia y compleja que incluye tanto a los sujetos como a los objetos de la práctica artística.   En este marco, el programa Museo en colectivo ofrece visitas comentadas gratuitas dirigidas a grupos de personas participantes en programas de asociaciones y colectivos de carácter social o de intervención sociocomunitaria. Este itinerario recorre los espacios y las salas de la Colección del Museo, acercándose a una selección de obras y artistas que puedan activar una conversación social, buscando así establecer un diálogo entre las piezas, las biografías de l+s visitantes y los desafíos y conflictos que nos plantea la sociedad actual.     Día: Miércoles, 7 de mayo de 2025.  Hora: 17:30 h.  Punto de Encuentro: a las 17:15? h en la puerta de entrada al Museo Edificio Sabatini C/ Santa Isabel, 52.    Duración: Aproximadamente dos horas  Transporte: Cercanías Atocha.  Precio: 1,00 Euros.  Inscripciones en la secretaria del Centro Sociocultural o al teléfono 917 100 692.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=48094632ee336910VgnVCM1000001d4a900aRCRD,Actividades en el Centro Sociocultural San Cristóbal de los Ángeles,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=46fed15c0bfe4910VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f4a79262ef5d010VgnVCM1000000b205a0aRCRD,Centro Sociocultural San Cristóbal de los Ángeles (Villaverde),1,PLAZA,PINAZO,9.0,VILLAVERDE,SAN CRISTOBAL,28021.0,441274.0,4466022.0,4034268360439140.0,-3.69144025498128e+16,/contenido/actividades/ExcursionesItinerariosVisitas,
12753874,Visita Comentada al Museo Nacional Centro de Arte Reina Sofia,1,0,0,,,2025-05-07 00:00:00.0,2025-05-07 23:59:00.0,17:30:00,"El Museo Reina Sofía se reconoce como un espacio dinamizador y abierto a la ciudadanía en toda su diversidad. Centra su atención en valorar la riqueza de las diferencias y de las diversas culturas, abordando de manera transversal los factores de exclusión social como parte de una conversación colectiva amplia y compleja que incluye tanto a los sujetos como a los objetos de la práctica artística.   En este marco, el programa Museo en colectivo ofrece visitas comentadas gratuitas dirigidas a grupos de personas participantes en programas de asociaciones y colectivos de carácter social o de intervención sociocomunitaria. Este itinerario recorre los espacios y las salas de la Colección del Museo, acercándose a una selección de obras y artistas que puedan activar una conversación social, buscando así establecer un diálogo entre las piezas, las biografías de l+s visitantes y los desafíos y conflictos que nos plantea la sociedad actual.      Día: Miércoles, 7 de mayo de 2025.  Hora: 17:30 h.  Punto de Encuentro: a las 17:15? h en la puerta de entrada al Museo Edificio Sabatini C/ Santa Isabel, 52.    Duración: Aproximadamente dos horas  Transporte: Cercanías Atocha.  Precio: 1,00 Euros.  Inscripciones en la secretaria del Centro Sociocultural o al teléfono 917 100 232.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fddbde9895336910VgnVCM2000001f4a900aRCRD,Actividades en el Centro Sociocultural Marconi,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=446ed15c0bfe4910VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6cb0085f5181c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Marconi (Villaverde),1,ACCESO,COLONIA MARCONI,4.0,VILLAVERDE,VILLAVERDE ALTO C.H.,28021.0,440472.0,4465148.0,403347558542528.0,-3.70080372173382e+16,/contenido/actividades/ExcursionesItinerariosVisitas,
12755070,El mundo del revés,10,0,0,,,2025-05-31 00:00:00.0,2025-05-31 23:59:00.0,17:00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ec69828cf1936910VgnVCM1000001d4a900aRCRD,El mundo del revés,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1379828cf1936910VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,Matadero Madrid,1,PLAZA,LEGAZPI,8.0,ARGANZUELA,CHOPERA,28045.0,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,/contenido/actividades/RecitalesPresentacionesActosLiterarios,/usuario/Familias
12755061,Personajes ilustrados,10,0,0,,,2025-05-24 00:00:00.0,2025-05-24 23:59:00.0,17:00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6449828cf1936910VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,Matadero Madrid,1,PLAZA,LEGAZPI,8.0,ARGANZUELA,CHOPERA,28045.0,440946.0,4471422.0,4039130985242180.0,-3.6958028442054e+16,/contenido/actividades/RecitalesPresentacionesActosLiterarios,"/usuario/Niños,/usuario/Familias"
12513909,Ça Marche 'Trabajos forzados',14,0,0,,,2025-05-07 00:00:00.0,2025-05-07 23:59:00.0,20:00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5c4302a2fa0e1910VgnVCM1000001d4a900aRCRD,Ça Marche «TRABAJOS FORZADOS»,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=315302a2fa0e1910VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9.0,CENTRO,UNIVERSIDAD,28015.0,439723.0,4475438.0,4042739911262290.0,-3710589286287490.0,/contenido/actividades/ProgramacionDestacadaAgendaCultura,
12513997,Bendik Giske,16,0,0,,,2025-06-06 00:00:00.0,2025-06-06 23:59:00.0,20:30:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b9a702a2fa0e1910VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9.0,CENTRO,UNIVERSIDAD,28015.0,439723.0,4475438.0,4042739911262290.0,-3710589286287490.0,/contenido/actividades/ProgramacionDestacadaAgendaCultura,
12513927,Jesús Rubio Gamo | '...todas esas cosas dentro de las cosas que llamamos cosas escondidas en...»',16,0,1,"L,M,X,J,V,S,D",,2025-06-12 00:00:00.0,2025-06-13 23:59:00.0,20:00:00,Duración: 60 minutos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f02402a2fa0e1910VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9.0,CENTRO,UNIVERSIDAD,28015.0,439723.0,4475438.0,4042739911262290.0,-3710589286287490.0,/contenido/actividades/DanzaBaile,
12513930,Kor´sia «Simulacro»,18,0,1,"L,M,X,J,V,S,D",,2025-06-20 00:00:00.0,2025-06-22 23:59:00.0,20:00:00,"Duración: 60 minutos.  Una vez empezada la función y cerradas puertas, no se podrá acceder al teatro.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2b3402a2fa0e1910VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9.0,CENTRO,UNIVERSIDAD,28015.0,439723.0,4475438.0,4042739911262290.0,-3710589286287490.0,/contenido/actividades/DanzaBaile,
12513994,Raül Refree + Niño de Elche,18,0,0,,,2025-05-31 00:00:00.0,2025-05-31 23:59:00.0,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=019702a2fa0e1910VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,CALLE,CONDE DUQUE,9.0,CENTRO,UNIVERSIDAD,28015.0,439723.0,4475438.0,4042739911262290.0,-3710589286287490.0,/contenido/actividades/ProgramacionDestacadaAgendaCultura,
12491158,"¡Esta noche, gran velada!",18,0,1,"M,X,J,V,S,D",,2025-04-08 00:00:00.0,2025-05-25 23:59:00.0,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a2fe2fc6e6c1910VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD,Teatro Español,1.6,CALLE,PRINCIPE,25.0,CENTRO,CORTES,28012.0,440597.0,4474036.0,4.04148285322409e+16,-3700164949543680.0,/contenido/actividades/TeatroPerformance,
